,,,,,,,,,,,,,,,
MARKA,Ürün Adı,BARKOD-1,REFERANS-1,BARKOD-2,REFERANS-2,BARKOD-3,REFERANS-3,BARKOD-4,REFERANS-4,BARKOD-5,REFERANS-5,BARKOD-6,REFERANS-6,UNIQ KOD,UNIQ ÜRÜN ADI
CAROLINA HERRERA,LA BOMBA SHIMMERING BODY OIL 150 ML,8411061111369,PCH65218190,,,,,,,,,,,,
CAROLINA HERRERA,JASMINE ABSOLU,,,,,,,,,,,,,,
CAROLINA HERRERA,JASMINE ABSOLU EDP 80 ML,8411061123614,PCH65225855,,,,,,,,,,,,
CAROLINA HERRERA,JASMINE ABSOLU EDP 50 ML,8411061123607,PCH65225854,,,,,,,,,,,,
CAROLINA HERRERA,BAD BOY,,,,,,,,,,,,,,
CAROLINA HERRERA,BAD BOY EDT 100 ML ,8411061923245,PCH65132647,8411061099728,PCH65206727,,,,,,,,, PCH000000043, BAD BOY EDT 100 ML 
CAROLINA HERRERA,BAD BOY EDT 50 ML,8411061926093,PCH65133810,8411061099735,PCH65206728,,,,,,,,, PCH000000044, BAD BOY EDT 50 ML
CAROLINA HERRERA,BAD BOY DEO SPRAY 100 ML,8411061958544,PCH65147995,,,,,,,,,,, PCH000000045, BAD BOY DEO SPRAY 100 ML
CAROLINA HERRERA,BAD BOY DEO STICK 75 GR,8411061973479,PCH65156566,,,,,,,,,,, PCH000000046, BAD BOY DEO STICK 75 GR
CAROLINA HERRERA,BAD BOY COBALT,,,,,,,,,,,,,,
CAROLINA HERRERA,BAD BOY COBALT EDP 100 ML,8411061027837,PCH65176773,8411061099759,PCH65206730,,,,,,,,, PCH000000090, BAD BOY COBALT EDP 100ML
CAROLINA HERRERA,BAD BOY COBALT EDP 50 ML,8411061027813,PCH65176771,8411061099766,PCH65206731,,,,,,,,, PCH000000089, BAD BOY COBALT EDP 50ML
CAROLINA HERRERA,BAD BOY COBALT ELIXIR,,,,,,,,,,,,,,
CAROLINA HERRERA,BAD BOY COBALT ELIXIR 100 ML,8411061083772,PCH65198208,,,,,,,,,,, PCH000000107, BAD BOY COBALT ELIXIR 100 ML
CAROLINA HERRERA,BAD BOY COBALT ELIXIR 50 ML,8411061083765,PCH65198207,,,,,,,,,,, PCH000000108, BAD BOY COBALT ELIXIR 50 ML
CAROLINA HERRERA,BAD BOY COBALT ABSOLUTE,,,,,,,,,,,,,,
CAROLINA HERRERA,BAD BOY COBALT ABSOLUTE EDP 100 ML,8411061124840,PCH65227863,,,,,,,,,,,,
CAROLINA HERRERA,BAD BOY COBALT ABSOLUTE EDP 50 ML,8411061124833,PCH65227862,,,,,,,,,,,,
CAROLINA HERRERA,BAD BOY ELIXIR,,,,,,,,,,,,,,
